Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
conv_1,615.625,0.000,0.000,0.000
conv_2,615.625,0.000,0.000,0.000
conv_3,615.625,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
conv_1,entry_proc_U0,615.625,0.000,0.000,0.000
conv_1,Block_entry3_proc_U0,615.625,0.000,0.000,0.000
conv_1,load_input_U0,615.625,0.000,0.000,0.000
conv_1,load_input_U0/grp_load_input_Pipeline_mem_rd_fu_86,615.625,0.000,0.000,0.000
conv_1,compute_add_U0,615.625,0.000,0.000,0.000
conv_1,compute_add_U0/grp_compute_add_Pipeline_execute_fu_50,615.625,0.000,0.000,0.000
conv_1,store_result_U0,615.625,0.000,0.000,0.000
conv_1,store_result_U0/grp_store_result_Pipeline_mem_wr_fu_77,615.625,0.000,0.000,0.000
conv_2,entry_proc_U0,615.625,0.000,0.000,0.000
conv_2,Block_entry3_proc_U0,615.625,0.000,0.000,0.000
conv_2,load_input_U0,615.625,0.000,0.000,0.000
conv_2,load_input_U0/grp_load_input_Pipeline_mem_rd_fu_86,615.625,0.000,0.000,0.000
conv_2,compute_add_U0,615.625,0.000,0.000,0.000
conv_2,compute_add_U0/grp_compute_add_Pipeline_execute_fu_50,615.625,0.000,0.000,0.000
conv_2,store_result_U0,615.625,0.000,0.000,0.000
conv_2,store_result_U0/grp_store_result_Pipeline_mem_wr_fu_77,615.625,0.000,0.000,0.000
conv_3,entry_proc_U0,615.625,0.000,0.000,0.000
conv_3,Block_entry3_proc_U0,615.625,0.000,0.000,0.000
conv_3,load_input_U0,615.625,0.000,0.000,0.000
conv_3,load_input_U0/grp_load_input_Pipeline_mem_rd_fu_86,615.625,0.000,0.000,0.000
conv_3,compute_add_U0,615.625,0.000,0.000,0.000
conv_3,compute_add_U0/grp_compute_add_Pipeline_execute_fu_50,615.625,0.000,0.000,0.000
conv_3,store_result_U0,615.625,0.000,0.000,0.000
conv_3,store_result_U0/grp_store_result_Pipeline_mem_wr_fu_77,615.625,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
conv_1,m_axi_gmem0,0.000,0.000,0.000,0.000
conv_1,m_axi_gmem1,0.000,0.000,0.000,0.000
conv_2,m_axi_gmem0,0.000,0.000,0.000,0.000
conv_2,m_axi_gmem1,0.000,0.000,0.000,0.000
conv_3,m_axi_gmem0,0.000,0.000,0.000,0.000
conv_3,m_axi_gmem1,0.000,0.000,0.000,0.000

